#Sequencing_Panel	Illumina_ID	Sample_ID	Sample_ID(Aliases)	SGDP_ID	Population_ID	Region	Country	Town	Contributor	Gender	Latitude	Longitude	DNA_Source	Embargo	"SGDP-lite category: X=FullyPublic, Y=SignedLetterNoDelay, Z=SignedLetterDelay, DO_NOT_USE=do.not.use"
C	LP6005441-DNA_G10	HGDP00887	HGDP00887	S_Russian-1	Russian	WestEurasia	Russia	Vologda Administrative Region	Howard Cann	M	61.0	40.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_H10	HGDP00903	HGDP00903	S_Russian-2	Russian	WestEurasia	Russia	Vologda Administrative Region	Howard Cann	F	61.0	40.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_C06	HGDP00749	HGDP00749	S_Japanese-1	Japanese	EastAsia	Japan	?	Howard Cann	M	37.85	139.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005442-DNA_F04	Jordan603	Jordan603	S_Jordanian-2	Jordanian	WestEurasia	Jordan	migrants_collected_in_Kuwait	Mait Metspalu / Ene Metspalu / Richard Villems / Jüri Parik	M	32.055	35.914	Genomic_from_blood	FullyPublic	X
C	LP6005443-DNA_G08	HGDP00991	HGDP00991	S_Ju_hoan_North-1	Ju_hoan_North	Africa	Namibia	?	Howard Cann	M	-18.9	21.5	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_H09	HGDP00737	HGDP00737	S_Palestinian-3	Palestinian	WestEurasia	Israel(Central)	?	Howard Cann	F	32.0	35.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005592-DNA_A04	HG02494	HG02494	S_Punjabi-4	Punjabi	SouthAsia	Pakistan	Lahore	1KG	F	31.5	74.3	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_A10	HGDP00541	HGDP00541	S_Papuan-3	Papuan	Oceania	PapuaNewGuinea	NewGuinea	Howard Cann	M	-4.0	143.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005442-DNA_C02	abh107	abh107	S_Abkhasian-1	Abkhasian	WestEurasia	Abkhazia	Sukhum	Mait Metspalu / Elza Khusnutdinova / Rita Khusainova	M	43.003	41.015	Genomic_from_blood	FullyPublic	X
C	LP6005442-DNA_D02	abh100	abh100	S_Abkhasian-2	Abkhasian	WestEurasia	Russia	Sukhum	Mait Metspalu / Elza Khusnutdinova / Rita Khusainova	M	43.003	41.015	Genomic_from_blood	FullyPublic	X
C	LP6005441-DNA_A01	HGDP01402	HGDP01402	S_Adygei-1	Adygei	WestEurasia	Russia(Caucasus)	Krasnodar	Howard Cann	M	44.0	39.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_B01	HGDP01401	HGDP01401	S_Adygei-2	Adygei	WestEurasia	Russia(Caucasus)	Krasnodar	Howard Cann	F	44.0	39.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005443-DNA_A03	Ale22	Ale22	S_Aleut-1	Aleut	CentralAsiaSiberia	Russia	"Nikolskoye, Commander Islands"	Rem Sukernik / Stanislav Dryomov	M	55.18	166	Genomic_from_blood	FullyPublic	X
C	LP6005443-DNA_H02	Ale20	Ale20	S_Aleut-2	Aleut	CentralAsiaSiberia	Russia	"Nikolskoye, Commander Islands"	Rem Sukernik / Stanislav Dryomov	F	55.18	166	Genomic_from_blood	FullyPublic	X
C	LP6005442-DNA_C07	NA13607	NA13607	S_Ami-1	Ami	EastAsia	Taiwan	Cell_line_repository_sampling_location_unknown	Coriell	M	22.843145	121.185356	Genomic_from_cell_lines	FullyPublic	X
C	LP6005443-DNA_G05	NA13616	NA13616	S_Ami-2	Ami	EastAsia	Taiwan	Cell_line_repository_sampling_location_unknown	Coriell	M	22.843145	121.185356	Genomic_from_cell_lines	FullyPublic	X
C	LP6005443-DNA_E02	HGDP01028	HGDP01028	S_BantuHerero-1	BantuHerero	Africa	BotswanaOrNamibia	?	Howard Cann	M	-22.0	19.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_F01	HGDP01035	HGDP01035	S_BantuHerero-2	BantuHerero	Africa	BotswanaOrNamibia	?	Howard Cann	M	-22.0	19.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005443-DNA_A01	HGDP01417	HGDP01417	S_BantuKenya-1	BantuKenya	Africa	Kenya	?	Howard Cann	M	-3.0	37.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_B02	HGDP01414	HGDP01414	S_BantuKenya-2	BantuKenya	Africa	Kenya	?	Howard Cann	F	-3.0	37.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005443-DNA_G02	HGDP01030	HGDP01030	S_BantuTswana-1	BantuTswana	Africa	BotswanaOrNamibia	?	Howard Cann	M	-28.0	24.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005443-DNA_F02	HGDP01034	HGDP01034	S_BantuTswana-2	BantuTswana	Africa	BotswanaOrNamibia	?	Howard Cann	M	-28.0	24.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_C02	HGDP01364	HGDP01364	S_Basque-1	Basque	WestEurasia	France	?	Howard Cann	M	43.0	0.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_D02	HGDP01365	HGDP01365	S_Basque-2	Basque	WestEurasia	France	?	Howard Cann	F	43.0	0.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_E02	HGDP00616	HGDP00616	S_BedouinB-1	BedouinB	WestEurasia	Israel(Negev)	?	Howard Cann	M	31.0	35.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_F02	HGDP00650	HGDP00650	S_BedouinB-2	BedouinB	WestEurasia	Israel(Negev)	?	Howard Cann	F	31.0	35.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005442-DNA_G09	HG03006	HG03006	S_Bengali-1	Bengali	SouthAsia	Bangladesh	?	1KG	M	23.7	90.4	Genomic_from_cell_lines	FullyPublic	X
C	LP6005442-DNA_H09	HG03007	HG03007	S_Bengali-2	Bengali	SouthAsia	Bangladesh	?	1KG	F	23.7	90.4	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_G02	HGDP00457	HGDP00457	S_Biaka-1	Biaka	Africa	Central African Republic	?	Howard Cann	M	4.0	17.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_H02	HGDP00461	HGDP00461	S_Biaka-2	Biaka	Africa	Central African Republic	?	Howard Cann	M	4.0	17.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_B03	HGDP00660	HGDP00660	S_Bougainville-1	Bougainville	Oceania	PapuaNewGuinea	Bougainville_Island	Howard Cann	F	-6.0	155.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_A03	HGDP00656	HGDP00656	S_Bougainville-2	Bougainville	Oceania	PapuaNewGuinea	Bougainville_Island	Howard Cann	F	-6.0	155.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005519-DNA_G03	B11	B11	S_Brahmin-1	Brahmin	SouthAsia	India	Visakhapatnam	Lynn Jorde / Mike Bamshad / Scott Watkins	M	17.7	83.3	Genomic_from_blood	FullyPublic	X
C	LP6005519-DNA_H03	B17	B17	S_Brahmin-2	Brahmin	SouthAsia	India	Visakhapatnam	Lynn Jorde / Mike Bamshad / Scott Watkins	M	17.7	83.3	Genomic_from_blood	FullyPublic	X
C	LP6005441-DNA_D03	HGDP00027	HGDP00027	S_Brahui-1	Brahui	SouthAsia	Pakistan	?	Howard Cann	M	30.5	66.5	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_C03	HGDP00019	HGDP00019	S_Brahui-2	Brahui	SouthAsia	Pakistan	?	Howard Cann	M	30.5	66.5	Genomic_from_cell_lines	FullyPublic	X
C	LP6005442-DNA_A03	BulgarianB4	BulgarianB4	S_Bulgarian-1	Bulgarian	WestEurasia	Bulgaria	Plovdiv	Mait Metspalu / Draga Toncheva / Sena Karachanak-Yankova	M	42.163	24.741	Genomic_from_blood	FullyPublic	X
C	LP6005442-DNA_B03	BulgarianC1	BulgarianC1	S_Bulgarian-2	Bulgarian	WestEurasia	Bulgaria	Plovdiv	Mait Metspalu / Draga Toncheva / Sena Karachanak-Yankova	M	42.163	24.741	Genomic_from_blood	FullyPublic	X
C	LP6005519-DNA_B06	Bu16	Bu16	S_Burmese-1	Burmese	EastAsia	Myanmar	Mandalay (sampled in Singapore)	Toomas Kivisild / Joseph Wee Tien Seng	M	17.0	96.7	Genomic_from_saliva	FullyPublic	X
C	LP6005519-DNA_A06	Bu5	Bu5	S_Burmese-2	Burmese	EastAsia	Myanmar	Yangon (sampled in Singapore)	Toomas Kivisild / Joseph Wee Tien Seng	M	17.0	96.7	Genomic_from_saliva	FullyPublic	X
C	LP6005441-DNA_E03	HGDP00428	HGDP00428	S_Burusho-1	Burusho	SouthAsia	Pakistan	?	Howard Cann	M	36.5	74.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_F03	HGDP00338	HGDP00338	S_Burusho-2	Burusho	SouthAsia	Pakistan	?	Howard Cann	F	36.5	74.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_G03	HGDP00717	HGDP00717	S_Cambodian-1	Cambodian	EastAsia	Cambodia	?	Howard Cann	M	12.0	105.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_H03	HGDP00713	HGDP00713	S_Cambodian-2	Cambodian	EastAsia	Cambodia	?	Howard Cann	F	12.0	105.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005443-DNA_H08	DNK05	DNK5	S_Dinka-1	Dinka	Africa	Sudan	Aweil	Michael Hammer	M	8.8	27.4	Genomic_from_saliva	FullyPublic	X
C	LP6005443-DNA_B09	DNK11	DNK11	S_Dinka-2	Dinka	Africa	Sudan	Aweil	Michael Hammer	M	8.8	27.4	Genomic_from_saliva	FullyPublic	X
C	LP6005443-DNA_D01	HGDP00569	HGDP00569	S_Druze-1	Druze	WestEurasia	Israel(Carmel)	?	Howard Cann	F	32.0	35.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_G04	HGDP00597	HGDP00597	S_Druze-2	Druze	WestEurasia	Israel(Carmel)	?	Howard Cann	M	32.0	35.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005519-DNA_F06	Dus22	Dus22	S_Dusun-1	Dusun	Oceania	Brunei	Tutong District	Toomas Kivisild / M. Syafiq Abdullah	F	4.7	114.7	Genomic_from_saliva	FullyPublic	X
C	LP6005519-DNA_E06	Dus16	Dus16	S_Dusun-2	Dusun	Oceania	Brunei	"Lamunin, Tutong District"	Toomas Kivisild / M. Syafiq Abdullah	F	4.7	114.7	Genomic_from_saliva	FullyPublic	X
C	LP6005442-DNA_E10	HG00126	HG00126	S_English-1	English	WestEurasia	England	Kent	1KG	M	51.2	0.7	Genomic_from_cell_lines	FullyPublic	X
C	LP6005442-DNA_F10	HG00128	HG00128	S_English-2	English	WestEurasia	England	Kent	1KG	F	51.2	0.7	Genomic_from_cell_lines	FullyPublic	X
C	LP6005442-DNA_A10	HG03100	HG03100	S_Esan-1	Esan	Africa	Nigeria	?	1KG	M	6.5	6.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005442-DNA_B10	HG02943	HG02943	S_Esan-2	Esan	Africa	Nigeria	?	1KG	F	6.5	6.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005443-DNA_F03	Nesk_22	Nesk_22	S_Eskimo_Naukan-1	Eskimo_Naukan	CentralAsiaSiberia	Russia	"Naukan, Chukchi Peninsula"	Rem Sukernik / Stanislav Dryomov	F	66.02	169.71	Genomic_from_blood	FullyPublic	X
C	LP6005443-DNA_G03	Nesk_25	Nesk_25	S_Eskimo_Naukan-2	Eskimo_Naukan	CentralAsiaSiberia	Russia	"Big Diomide Island, Chukchi Peninsula"	Rem Sukernik / Stanislav Dryomov	F	66.02	169.71	Genomic_from_blood	FullyPublic	X
C	LP6005443-DNA_B03	Sir26	Sir26	S_Eskimo_Sireniki-1	Eskimo_Sireniki	CentralAsiaSiberia	Russia	"Sireniki, Chukchi Peninsula"	Rem Sukernik / Stanislav Dryomov	M	64.4	173.9	Genomic_from_blood	FullyPublic	X
C	LP6005443-DNA_H03	Sir40	Sir40	S_Eskimo_Sireniki-2	Eskimo_Sireniki	CentralAsiaSiberia	Russia	"Sireniki, Chukchi Peninsula"	Rem Sukernik / Stanislav Dryomov	F	64.4	173.9	Genomic_from_blood	FullyPublic	X
C	LP6005442-DNA_H03	Est375	Est375	S_Estonian-1	Estonian	WestEurasia	Estonia	Parnu	Mait Metspalu / Ene Metspalu / Richard Villems / Jüri Parik	M	58.386	24.502	Genomic_from_blood	FullyPublic	X
C	LP6005442-DNA_G03	Est400	Est400	S_Estonian-2	Estonian	WestEurasia	Estonia	Avinurme	Mait Metspalu / Ene Metspalu / Richard Villems / Jüri Parik	M	58.985	26.864	Genomic_from_blood	FullyPublic	X
C	LP6005441-DNA_A05	HGDP00530	HGDP00530	S_French-1	French	WestEurasia	France	?	Howard Cann	M	46.0	2.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_B05	HGDP00526	HGDP00526	S_French-2	French	WestEurasia	France	?	Howard Cann	F	46.0	2.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005442-DNA_G10	HG02464	HG02464	S_Gambian-1	Gambian	Africa	Gambia	Western District	1KG	M	13.4	-16.7	Genomic_from_cell_lines	FullyPublic	X
C	LP6005442-DNA_H10	HG02574	HG02574	S_Gambian-2	Gambian	Africa	Gambia	Western District	1KG	F	13.4	-16.7	Genomic_from_cell_lines	FullyPublic	X
C	LP6005442-DNA_B04	mg27	mg27	S_Georgian-1	Georgian	WestEurasia	Georgia	Zugdidi_in_Megrelia	Mait Metspalu / Elza Khusnutdinova / Rita Khusainova	M	42.500	41.850	Genomic_from_blood	FullyPublic	X
C	LP6005442-DNA_A04	mg31	mg31	S_Georgian-2	Georgian	WestEurasia	Georgia	Zugdidi_in_Megrelia	Mait Metspalu / Elza Khusnutdinova / Rita Khusainova	M	42.500	41.850	Genomic_from_blood	FullyPublic	X
C	LP6005442-DNA_G07	NA17377	NA17377	S_Greek-1	Greek	WestEurasia	Greece	Cell_line_repository_sampling_location_unknown	Coriell	M	38.0	23.7	Genomic_from_cell_lines	FullyPublic	X
C	LP6005443-DNA_A06	NA17374	NA17374	S_Greek-2	Greek	WestEurasia	Greece	Cell_line_repository_sampling_location_unknown	Coriell	M	38.0	23.7	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_D05	HGDP00783	HGDP00783	S_Han-1	Han	EastAsia	China	?	Howard Cann	F	32.3	114.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_C05	HGDP00785	HGDP00785	S_Han-2	Han	EastAsia	China	?	Howard Cann	M	32.3	114.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_F05	HGDP00124	HGDP00124	S_Hazara-1	Hazara	SouthAsia	Pakistan	?	Howard Cann	M	33.5	70.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_E05	HGDP00125	HGDP00125	S_Hazara-2	Hazara	SouthAsia	Pakistan	?	Howard Cann	M	33.5	70.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_G05	HGDP01240	HGDP01240	S_Hezhen-1	Hezhen	EastAsia	China	?	Howard Cann	M	47.5	133.5	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_H05	HGDP01242	HGDP01242	S_Hezhen-2	Hezhen	EastAsia	China	?	Howard Cann	F	47.5	133.5	Genomic_from_cell_lines	FullyPublic	X
C	LP6005442-DNA_B08	NA15203	NA15203	S_Hungarian-1	Hungarian	WestEurasia	Hungary	Cell_line_repository_sampling_location_unknown	Coriell	F	47.5	19.1	Genomic_from_cell_lines	FullyPublic	X
C	LP6005442-DNA_A08	NA15202	NA15202	S_Hungarian-2	Hungarian	WestEurasia	Hungary	Cell_line_repository_sampling_location_unknown	Coriell	M	47.5	19.1	Genomic_from_cell_lines	FullyPublic	X
C	LP6005442-DNA_D08	NA15761	NA15761	S_Icelandic-1	Icelandic	WestEurasia	Iceland	Cell_line_repository_sampling_location_unknown	Coriell	F	64.1	-21.9	Genomic_from_cell_lines	FullyPublic	X
C	LP6005443-DNA_B06	NA15763	NA15763	S_Icelandic-2	Icelandic	WestEurasia	Iceland	Cell_line_repository_sampling_location_unknown	Coriell	F	64.1	-21.9	Genomic_from_cell_lines	FullyPublic	X
C	LP6005519-DNA_C06	Igor20	Igor20	S_Igorot-1	Igorot	Oceania	Philippines	"Mountain Province, Luzon Island (sampled in Singapore)"	Toomas Kivisild / Joseph Wee Tien Seng	F	17.1	121.0	Genomic_from_saliva	FullyPublic	X
C	LP6005519-DNA_D06	Igor21	Igor21	S_Igorot-2	Igorot	Oceania	Philippines	"Mountain Province, Luzon Island (sampled in Singapore)"	Toomas Kivisild / Joseph Wee Tien Seng	M	17.1	121.0	Genomic_from_saliva	FullyPublic	X
C	LP6005442-DNA_C04	iran17	iran17	S_Iranian-1	Iranian	WestEurasia	Iran	migrants_collected_in_Kuwait	Mait Metspalu / Ene Metspalu / Richard Villems / Jüri Parik	M	35.586	51.460	Genomic_from_blood	FullyPublic	X
C	LP6005443-DNA_B10	iran11	iran11	S_Iranian-2	Iranian	WestEurasia	Iran	migrants_collected_in_Kuwait	Mait Metspalu / Ene Metspalu / Richard Villems / Jüri Parik	M	35.586	51.460	Genomic_from_blood	FullyPublic	X
C	LP6005592-DNA_F01	IraqiJew1771	IraqiJew1771	S_Iraqi_Jew-1	Iraqi_Jew	WestEurasia	Iraq	Cell_line_repository	Tel-Aviv University	F	33.3	44.4	Genomic_from_cell_lines	FullyPublic	X
C	LP6005592-DNA_E01	IraqiJew4291	IraqiJew4291	S_Iraqi_Jew-2	Iraqi_Jew	WestEurasia	Iraq	Cell_line_repository	Tel-Aviv University	M	33.3	44.4	Genomic_from_cell_lines	FullyPublic	X
C	LP6005519-DNA_C05	I1	I1	S_Irula-1	Irula	SouthAsia	India	?	Lynn Jorde / Mike Bamshad / Scott Watkins	M	13.5	80.0	Genomic_from_blood	FullyPublic	X
